X6005.3SA	X6005.3SB	X6005.3SC	DMSO5.3A	DMSO5.3B	DMSO5.3C
Unknown_23684	0	1	0	0	0	0
Unknown_23685	0	0	0	0	0	0
Gm22499_23686	0	0	0	0	0	0
Unknown_23687	0	0	0	0	1	0
Unknown_23688	0	0	0	0	0	0
Gm8582_23689	0	0	0	0	0	0
Unknown_23690	0	0	0	0	0	0
Unknown_23691	0	0	0	0	0	0
Unknown_23692	12	9	9	2	14	8
Gm7352_23693	5	7	17	10	7	9
Gm2244_23694	0	0	0	0	1	0
Gm2237_23695	0	0	0	2	4	5
Gm5458_23696	0	0	0	0	0	0
Unknown_23697	0	0	0	0	0	0
Unknown_23698	0	0	0	0	0	0
Nid2_23699	508	463	412	277	541	433
Rtraf_23700	2312	2434	2408	1713	2755	2046
Gng2_23701	1079	607	509	496	493	285
Saysd1_23702	244	170	130	105	103	91
Kcnk5_23703	0	0	0	6	0	0
Gm24912_23704	0	0	0	0	0	0
Kcnk16_23705	0	0	0	0	0	0
Nudt13_23706	290	219	218	237	329	205
Ecd_23707	2073	2525	2392	2021	3258	2504
Fam149b_23708	641	903	852	476	681	536
Dnajc9_23709	3213	3735	3473	2227	3593	2506
Mrps16_23710	1043	1323	1281	1197	1862	1377
Cfap70_23711	0	0	0	0	1	3
Unknown_23712	0	1	0	0	0	0
Anxa7_23713	2639	2436	2678	1824	2782	2141
Mss51_23714	59	110	98	41	56	53
Ppp3cb_23715	4962	4504	4296	2891	4612	3341
1810062O18Rik_23716	102	92	90	25	46	39
Usp54_23717	402	436	416	183	272	190
Myoz1_23718	0	0	0	0	1	2
Synpo2l_23719	3	7	4	2	0	1
Sec24c_23720	4200	5394	5147	3602	4990	3946
6230400D17Rik_23721	393	540	479	323	450	328
Mir6946_23722	4	16	6	1	1	5
Fut11_23723	1767	1661	1689	765	863	680
Gm25328_23724	2	7	7	0	1	3
Chchd1_23725	794	804	879	902	1265	936
Zswim8_23726	3952	3052	3287	1320	1628	1381
Ndst2_23727	1084	899	916	814	1070	782
Camk2g_23728	2192	2400	2272	1038	1620	1270
Plau_23729	23	35	28	37	20	19
Vcl_23730	2283	2394	2342	1016	1796	1414
Ap3m1_23731	3817	4544	4285	2662	4476	3407
Adk_23732	1546	1799	1693	853	1553	1096
Unknown_23733	0	0	0	0	0	0
Unknown_23734	0	0	0	0	0	0
Kat6b_23735	954	749	734	414	561	441
Dupd1_23736	0	0	0	0	0	0
Dusp13_23737	0	0	1	1	0	1
Unknown_23738	0	0	0	1	0	1
Samd8_23739	864	878	856	321	584	418
Gm23502_23740	0	0	0	0	0	0
Vdac2_23741	8032	9509	8682	6719	11444	8462
Comtd1_23742	712	699	632	573	862	639
A430057M04Rik_23743	638	631	598	524	779	614
Zfp503_23744	215	159	187	117	130	108
Lrmda_23745	49	45	36	35	34	24
Unknown_23746	0	0	0	0	0	0
Gm5670_23747	4	0	1	1	1	2
Gm10248_23748	0	0	0	0	0	0
Kcnma1_23749	1	0	0	3	2	0
Unknown_23750	0	0	0	0	0	0
Unknown_23751	1045	1250	1167	757	1171	937
Dlg5_23752	0	0	0	0	0	0
Unknown_23753	0	0	0	0	0	0
E330034G19Rik_23754	0	0	0	0	1	2
Polr3a_23755	1342	1625	1508	1120	1753	1370
Rps24_23756	17377	14979	15499	11114	15263	11310
Unknown_23757	0	0	0	0	0	0
Unknown_23758	0	0	0	0	0	0
Unknown_23759	0	0	0	0	0	0
Unknown_23760	0	0	0	0	0	0
Unknown_23761	0	0	1	1	0	1
Unknown_23762	162	125	117	61	80	60
Zmiz1_23763	5356	4259	4270	3431	4620	3977
Mir3075_23764	0	0	0	0	0	0
Unknown_23765	8	9	13	0	1	0
Ppif_23766	1635	2349	2247	1442	2546	2125
Zcchc24_23767	6	9	8	1	2	0
Unknown_23768	1	0	5	4	4	0
Unknown_23769	0	0	0	0	0	0
Anxa11_23770	2168	2197	2272	1244	1789	1340
Unknown_23771	469	474	496	289	405	290
Plac9a_23772	0	0	0	0	0	0
Tmem254a_23773	60	75	60	57	77	77
Cphx1_23774	0	0	0	0	0	0
Gm19013_23775	8	9	7	7	8	9
Duxbl1_23776	1	0	0	0	0	0
Unknown_23777	14	16	6	4	13	8
Gm9780_23778	0	0	0	0	0	0
Tmem254c_23779	348	451	398	371	582	391
Gm19014_23780	11	13	23	8	26	18
Cphx2_23781	0	0	0	0	0	0
Cphx3_23782	0	0	0	0	0	0
Duxbl2_23783	0	0	0	0	0	0
Unknown_23784	54	53	49	25	40	22
Gm9780_23785	0	0	0	0	0	0
Tmem254b_23786	199	268	227	237	350	262
Gm19015_23787	24	40	24	28	33	31
Duxbl3_23788	1	0	0	0	0	0
4933413J09Rik_23789	2	4	2	1	1	1
Unknown_23790	0	0	0	0	0	0
Unknown_23791	0	1	0	0	0	0
Slmap_23792	6917	9133	8856	4777	7930	5798
Gm24031_23793	0	0	0	0	0	0
Gm2178_23794	61	48	41	34	53	26
Dennd6a_23795	1271	1833	1777	689	1236	874
Unknown_23796	161	208	196	90	126	107
Arf4_23797	5928	7215	7441	3967	5335	4219
Pde12_23798	1639	1894	1774	1331	2158	1713
Mir7672_23799	96	89	89	83	102	86
Unknown_23800	1	7	1	5	2	4
Dnah12_23801	0	1	0	0	0	0
Asb14_23802	2	0	2	6	3	2
Appl1_23803	2180	1853	1888	1320	2060	1478
Hesx1_23804	1	2	1	17	14	16
Il17rd_23805	2	0	0	0	0	0
Arhgef3_23806	2760	1898	1677	1659	1896	1231
Unknown_23807	0	0	0	0	0	0
Tasor_23808	2885	2295	1973	1489	1980	1355
Ccdc66_23809	1035	1042	1042	640	946	689
Unknown_23810	3	5	3	2	0	0
Gm25697_23811	0	0	0	0	0	0
Erc2_23812	1	1	0	5	3	5
Wnt5a_23813	0	2	0	0	0	0
Unknown_23814	0	0	0	0	0	1
Cacna2d3_23815	0	0	0	0	0	0
Unknown_23816	0	0	0	0	0	0
Lrtm1_23817	0	0	0	0	0	0
Unknown_23818	1648	2544	2623	1410	2093	1481
Selenok_23819	1316	1062	1051	1117	1500	986
Actr8_23820	748	754	726	663	903	732
Il17rb_23821	3	5	2	2	2	5
Chdh_23822	0	0	0	2	2	0
Cacna1d_23823	1	1	1	1	7	1
Dcp1a_23824	1964	2197	2048	1423	2262	1655
Tkt_23825	25851	39337	35083	28147	38098	29577
Mir3076_23826	778	1572	1146	939	1346	854
Prkcd_23827	6910	6280	6433	4018	4744	3860
Rft1_23828	803	931	878	560	687	520
Sfmbt1_23829	1841	1474	1445	1017	1574	1190
Unknown_23830	103	86	84	56	89	83
Unknown_23831	23	24	17	18	28	15
Stimate_23832	1234	1385	1376	719	1072	752
Mustn1_23833	31	46	38	22	22	21
Itih4_23834	2	2	0	1	0	2
Itih3_23835	0	0	0	0	0	0
Itih1_23836	0	0	0	0	0	0
Nek4_23837	488	555	548	386	542	425
Spcs1_23838	2353	2725	2820	2113	3077	2135
Glt8d1_23839	884	1112	1122	715	888	621
Gnl3_23840	3593	5190	4955	3750	5788	5097
Unknown_23841	87	68	94	51	71	71
LOC115488429_23842	11	11	15	10	11	11
Unknown_23843	50	41	49	27	32	41
Pbrm1_23844	6899	8172	7434	3500	5497	4338
Unknown_23845	1225	1576	1565	909	1261	936
Smim4_23846	366	305	356	321	360	293
Nt5dc2_23847	7328	12886	11757	7183	11202	8152
Stab1_23848	538	930	833	597	985	739
Nisch_23849	13178	10002	10272	9445	12143	10232
Tnnc1_23850	23	2	9	37	13	28
Sema3g_23851	56	61	56	25	52	29
Phf7_23852	562	669	636	319	451	377
Bap1_23853	3270	3709	3525	2814	3983	2892
Dnah1_23854	17	27	21	14	29	9
Capn7_23855	3481	3842	3945	2086	2920	2269
Sh3bp5_23856	1145	1344	1318	469	729	585
Mettl6_23857	2395	2718	2466	2751	3318	2481
Eaf1_23858	6990	8086	7638	5313	5536	4422
Colq_23859	15	25	17	24	19	9
Unknown_23860	0	0	0	0	0	0
Hacl1_23861	1259	1251	1182	828	1136	762
Btd_23862	2644	3450	3368	1346	1960	1316
Ankrd28_23863	9658	9342	9108	9303	12768	8809
Unknown_23864	0	0	0	0	0	0
Unknown_23865	0	0	0	0	2	0
Unknown_23866	0	0	0	0	0	0
Galnt15_23867	0	0	0	0	0	0
Dph3_23868	1558	1303	1394	881	1399	1082
Oxnad1_23869	1343	1184	1145	1103	1764	1405
Msmb_23870	0	0	1	0	1	0
Ncoa4_23871	1086	1125	1042	967	1159	961
Timm23_23872	571	721	666	540	899	681
LOC115488402_23873	3	8	9	7	8	17
Parg_23874	2578	2699	2600	1563	2292	1742
Gm7707_23875	194	215	186	142	196	196
Unknown_23876	8	4	7	4	7	3
Ogdhl_23877	506	697	607	1444	1825	1408
1700024G13Rik_23878	0	0	0	0	0	0
Chat_23879	0	0	0	0	0	0
Unknown_23880	0	0	0	0	0	0
Ercc6_23881	2664	2696	2530	1205	1645	1358
Prrxl1_23882	0	0	0	0	0	0
3425401B19Rik_23883	0	0	0	1	0	0
Tmem273_23884	454	122	103	711	534	337
Fam170b_23885	1	1	0	0	0	0
Vstm4_23886	0	0	0	0	0	0
Gm7734_23887	765	1207	1059	932	1262	856
Wdfy4_23888	7140	7456	6922	4941	8599	6277
Lrrc18_23889	1	2	1	0	0	1
Gm25498_23890	0	0	0	0	0	0
Arhgap22_23891	2	4	2	1	1	1
Unknown_23892	2	3	2	1	0	1
Mapk8_23893	1173	1486	1301	677	952	668
Ptpn20_23894	0	0	0	0	1	0
Gm26228_23895	0	0	0	0	0	0
Gdf10_23896	0	0	0	0	0	0
Gdf2_23897	0	0	0	0	0	0
Rbp3_23898	0	0	0	0	0	0
Zfp488_23899	0	0	0	0	0	0
Gm5460_23900	0	0	0	0	0	0
A630023A22Rik_23901	0	0	0	0	2	0
Antxrl_23902	0	0	0	0	1	0
Anxa8_23903	0	0	0	0	0	0
Gm24998_23904	0	0	0	0	0	0
Npy4r_23905	0	0	0	0	0	0
Rpl23a-ps3_23906	5971	6869	6532	4449	6056	4572
Gprin2_23907	1	1	0	0	1	0
Syt15_23908	2	0	3	0	0	1
Shld2_23909	371	489	509	317	502	411
Glud1_23910	8458	10505	10212	4930	7677	5851
Fam25c_23911	0	0	0	0	0	0
Sncg_23912	0	0	0	0	1	0
Mmrn2_23913	0	0	0	0	1	0
Bmpr1a_23914	0	1	0	1	0	0
Unknown_23915	0	0	0	0	0	0
9230112D13Rik_23916	0	0	0	0	0	0
Ldb3_23917	0	1	0	0	0	0
Opn4_23918	0	0	0	0	0	0
Wapl_23919	8677	9214	8126	5393	8965	6301
Unknown_23920	0	1	0	1	0	3
Grid1_23921	0	0	0	0	0	0
Mir346_23922	0	0	0	0	0	0
Unknown_23923	0	0	0	0	0	0
4930596D02Rik_23924	0	0	0	0	0	0
Unknown_23925	0	0	0	0	0	0
4930474N05Rik_23926	0	0	0	0	0	0
Gm24394_23927	0	0	0	0	0	0
Gm25204_23928	0	0	0	0	0	0
Unknown_23929	0	0	0	0	0	0
Ccser2_23930	1094	1091	1124	441	716	541
Rgr_23931	0	0	0	0	0	0
Lrit1_23932	0	0	0	0	0	0
Lrit2_23933	0	0	0	1	0	0
Cdhr1_23934	0	0	0	0	0	0
2610528A11Rik_23935	1	4	2	2	1	0
Ghitm_23936	17157	13009	12375	7971	12000	8306
Gm22469_23937	0	0	0	0	0	0
Gm23909_23938	0	0	0	0	0	0
Unknown_23939	0	0	0	0	0	1
Nrg3_23940	0	1	0	0	0	0
Unknown_23941	0	0	0	0	0	0
Nrg3os_23942	0	0	0	0	0	0
Unknown_23943	0	0	0	0	0	0
Unknown_23944	0	0	0	0	0	0
Unknown_23945	1139	921	902	429	731	476
Unknown_23946	0	0	0	0	0	0
Unknown_23947	0	0	0	0	0	0
Unknown_23948	0	0	0	0	0	0
Gm24388_23949	0	0	0	0	0	0
Gm5205_23950	5	12	10	14	13	10
Sh2d4b_23951	4	6	7	0	3	3
Tspan14_23952	2749	2425	2422	1437	2033	1616
Prxl2a_23953	1229	1126	1126	571	631	515
Dydc2_23954	0	0	0	0	0	0
Dydc1_23955	0	0	0	0	0	0
Mat1a_23956	0	2	0	0	0	0
Sftpa1_23957	0	0	0	0	0	0
Mbl1_23958	0	0	0	0	0	0
Sftpd_23959	0	0	0	0	0	0
Unknown_23960	0	0	0	0	0	0
Gm22823_23961	0	0	0	0	0	0
Gm2832_23962	0	0	0	0	0	0
Unknown_23963	0	0	0	0	0	0
Gm5798_23964	0	0	0	0	0	0
Unknown_23965	0	0	0	0	0	0
Gm7945_23966	0	0	0	0	0	0
Unknown_23967	0	0	0	0	0	0
Unknown_23968	0	0	0	0	0	0
Unknown_23969	0	0	0	0	0	0
Unknown_23970	0	0	0	0	0	0
Unknown_23971	0	0	0	0	0	0
Unknown_23972	0	0	0	0	0	0
Unknown_23973	0	0	0	0	0	0
Gm7970_23974	0	0	0	0	0	0
Unknown_23975	0	0	0	0	0	0
Unknown_23976	0	0	0	0	0	0
Unknown_23977	0	0	0	0	0	0
Unknown_23978	0	0	0	0	0	0
Unknown_23979	0	0	0	0	0	0
Gm8065_23980	0	0	0	0	0	0
Unknown_23981	0	0	0	0	0	0
Unknown_23982	0	0	0	0	0	0
Unknown_23983	0	0	0	0	0	0
Gm7980_23984	0	0	0	0	0	0
1700049E17Rik1_23985	0	0	0	0	0	0
1700024B05Rik_23986	0	0	0	0	0	0
Unknown_23987	0	0	0	0	0	0
LOC115486427_23988	0	0	0	0	0	0
Unknown_23989	0	0	0	0	0	0
Unknown_23990	0	0	0	0	0	0
Unknown_23991	0	0	0	0	0	0
Unknown_23992	0	0	0	0	0	0
1700091H14Rik_23993	0	0	0	0	0	0
Unknown_23994	0	0	0	0	0	0
Unknown_23995	0	0	0	0	0	0
Unknown_23996	0	0	0	0	0	0
Unknown_23997	0	0	0	0	0	0
Unknown_23998	0	0	0	0	0	0
Unknown_23999	0	0	0	0	0	0
Unknown_24000	0	0	0	0	0	0
Gm17026_24001	0	0	0	0	0	0
Unknown_24002	0	0	0	0	0	1
Unknown_24003	0	0	0	0	0	0
Gm9611_24004	0	0	0	0	0	0
Gm7995_24005	0	0	0	0	0	0
Unknown_24006	0	0	0	0	0	0
Unknown_24007	0	0	0	0	0	0
Unknown_24008	0	0	0	0	0	0
Gm8005_24009	0	0	0	0	0	0
Gm2959_24010	0	0	0	0	0	1
Unknown_24011	0	0	0	0	0	0
Gm8020_24012	0	0	0	0	0	0
Unknown_24013	0	0	0	0	0	0
Unknown_24014	0	0	0	0	0	0
Unknown_24015	0	0	0	0	0	0
Gm17124_24016	0	0	0	0	0	0
Unknown_24017	0	0	0	0	0	0
Unknown_24018	3	3	3	3	4	1
Unknown_24019	0	0	0	0	0	0
Unknown_24020	0	0	0	1	0	0
Unknown_24021	0	0	0	0	0	0
Unknown_24022	0	0	0	0	0	0
Unknown_24023	0	0	0	0	0	0
Unknown_24024	0	0	0	0	0	0
Unknown_24025	0	0	0	0	0	0
Unknown_24026	0	0	0	0	0	0
Gm10377_24027	0	0	0	0	0	0
Unknown_24028	0	0	0	0	0	0
Unknown_24029	0	0	0	0	0	0
Unknown_24030	0	0	0	0	0	0
Unknown_24031	0	0	0	0	0	0
Unknown_24032	0	0	0	0	0	0
Unknown_24033	0	0	0	0	0	0
Gm6536_24034	0	0	0	0	0	0
Unknown_24035	0	0	0	0	0	0
Gm8094_24036	0	0	0	0	0	0
Gm8104_24037	0	0	0	0	0	0
Unknown_24038	865	1128	1121	766	1261	1009
Unknown_24039	0	0	0	0	0	0
Unknown_24040	0	0	0	0	0	0
Unknown_24041	0	0	0	0	0	1
Unknown_24042	0	0	0	0	0	0
Unknown_24043	0	0	0	0	0	0
Gm8126_24044	0	0	0	0	0	0
Unknown_24045	0	0	0	0	0	0
Gm8127_24046	0	0	0	0	0	0
1700049E17Rik2_24047	0	0	0	0	0	0
Unknown_24048	0	0	0	0	0	0
Unknown_24049	0	0	0	0	0	0
1700001F09Rik_24050	0	0	0	0	0	0
Gm9597_24051	0	0	0	0	0	0
Gm8138_24052	0	0	0	0	0	0
Gm8126_24053	0	0	0	0	0	0
Unknown_24054	0	0	0	0	0	0
Unknown_24055	0	0	0	0	0	0
Unknown_24056	0	0	0	0	0	0
Gm10375_24057	0	0	0	0	0	0
Unknown_24058	0	0	0	0	0	0
Unknown_24059	0	0	0	0	0	0
Gm8165_24060	0	0	0	0	0	0
Unknown_24061	0	0	0	0	0	0
Unknown_24062	0	1	0	0	0	0
Gm7324_24063	1834	2617	2454	1966	3105	2245
Gm16506_24064	0	0	0	0	0	0
Unknown_24065	0	0	0	0	0	0
Unknown_24066	0	0	0	0	0	0
Unknown_24067	0	0	0	0	0	0
Ear1_24068	0	0	0	0	0	0
Ear-ps12_24069	0	0	0	0	0	0
Unknown_24070	0	0	0	0	0	0
Unknown_24071	0	0	0	0	0	0
Unknown_24072	0	0	0	0	0	0
Unknown_24073	0	0	0	0	0	0
Ear10_24074	0	0	0	0	0	0
Unknown_24075	1	5	2	2	3	4
Unknown_24076	36	56	35	34	36	25
Ang3_24077	0	0	0	0	0	0
Ear-ps7_24078	0	0	0	0	0	0
Ear-ps10_24079	0	0	0	0	0	0
Ang6_24080	0	0	0	0	0	0
Gm8194_24081	9	13	12	10	9	6
Unknown_24082	0	0	0	0	0	0
Unknown_24083	0	0	0	0	0	0
Unknown_24084	0	0	0	0	0	0
Gm16545_24085	0	0	0	0	0	0
Ear2_24086	0	0	0	0	0	0
Unknown_24087	0	1	0	0	0	0
Unknown_24088	0	0	0	0	0	0
4930503E14Rik_24089	0	0	0	0	0	0
Unknown_24090	0	0	0	0	0	0
Gm8220_24091	0	0	0	0	0	0
Unknown_24092	0	0	0	0	0	0
Gm5930_24093	0	0	0	0	0	0
Unknown_24094	0	0	0	0	0	0
Unknown_24095	0	0	0	0	0	0
Unknown_24096	0	0	0	0	0	0
Gm8232_24097	0	0	0	0	0	0
Unknown_24098	0	0	0	0	0	0
Unknown_24099	0	0	0	0	0	0
BC061237_24100	0	0	0	0	0	0
Unknown_24101	0	0	0	0	0	0
Unknown_24102	0	0	0	0	0	0
Gm5930_24103	0	0	0	1	0	1
Unknown_24104	0	0	0	0	0	0
Unknown_24105	358	581	304	1551	1171	377
Unknown_24106	0	0	0	0	0	0
Unknown_24107	0	0	0	0	0	0
Unknown_24108	0	0	0	0	0	0
Unknown_24109	0	0	0	0	0	0
Unknown_24110	0	0	0	0	0	0
Gm8267_24111	0	0	0	0	0	0
Unknown_24112	0	0	0	0	0	0
Gm17070_24113	0	0	0	0	0	0
Ptgdr_24114	0	0	0	0	0	0
Unknown_24115	0	0	0	0	0	0
4930431P03Rik_24116	0	0	0	1	0	0
Unknown_24117	0	0	0	0	0	0
Ptger2_24118	10	0	1	4	0	0
Txndc16_24119	1360	1513	1423	530	737	518
Gm15765_24120	1	0	0	0	0	0
Gpr137c_24121	22	19	18	4	14	4
Ero1a_24122	16423	20177	15132	20024	21822	11495
Psmc6_24123	4298	4996	4902	3141	5561	4097
Styx_24124	54	54	50	21	44	41
Gnpnat1_24125	994	1071	1184	611	917	653
Unknown_24126	1	1	1	1	1	0
Fermt2_24127	0	0	0	0	0	0
Unknown_24128	0	0	0	0	0	0
Unknown_24129	230	233	271	149	196	170
Ddhd1_24130	1006	1013	1033	659	869	676
Mir5131_24131	20	21	11	8	12	11
A530076I17Rik_24132	0	0	0	0	0	0
Unknown_24133	469	550	530	412	528	376
Unknown_24134	3262	3524	3525	2713	3410	2580
Unknown_24135	0	0	0	0	0	0
Gm8317_24136	198	189	183	165	172	144
Unknown_24137	14	17	5	4	7	6
Unknown_24138	529	607	564	551	900	663
Unknown_24139	4370	4902	4391	2434	3708	2584
Gm15217_24140	0	0	0	0	0	0
Bmp4_24141	0	1	0	0	0	0
Unknown_24142	0	0	0	0	0	0
Unknown_24143	0	0	0	0	0	0
Unknown_24144	0	0	0	0	0	0
Rubie_24145	0	0	0	0	0	0
Cdkn3_24146	300	472	467	434	716	427
Cnih1_24147	2511	3029	3138	2238	3468	2337
Gmfb_24148	5577	5091	5035	3057	5073	3706
Unknown_24149	51	80	58	40	83	50
Cgrrf1_24150	390	362	362	343	463	331
Samd4_24151	0	0	0	0	0	0
Mir378c_24152	0	0	0	0	0	0
Unknown_24153	0	0	0	0	0	0
Gm10371_24154	0	2	1	2	0	0
Gch1_24155	355	461	491	140	177	130
Wdhd1_24156	4347	5667	5323	2513	4449	3129
Gm24378_24157	1	1	0	1	0	0
Socs4_24158	2841	2597	2335	1261	2140	1455
Mapk1ip1l_24159	3326	4631	4098	2598	4687	3440
Lgals3_24160	1103	2086	1978	1096	1082	693
Dlgap5_24161	2920	3614	3419	2421	4064	2544
Fbxo34_24162	1443	1718	1699	991	1523	1096
Atg14_24163	1239	943	948	369	443	346
Ktn1_24164	1754	2395	1981	1209	2182	1475
Unknown_24165	1698	1854	2025	847	1109	737
Peli2_24166	30	18	16	36	7	10
Unknown_24167	279	457	388	328	409	321
Unknown_24168	0	0	0	0	0	0
Gm3534_24169	422	630	586	466	678	496
Tmem260_24170	2928	2631	2578	768	897	614
Unknown_24171	0	0	0	0	0	0
Otx2_24172	0	0	0	0	0	0
Otx2os1_24173	0	0	0	0	0	0
LOC115488448_24174	3	6	1	0	2	1
Gm22699_24175	0	0	0	0	0	0
Unknown_24176	0	0	0	0	0	0
Exoc5_24177	3011	2889	2863	1435	2369	1901
Ap5m1_24178	1191	947	940	641	985	662
Naa30_24179	1392	1769	1693	918	1882	1411
ccdc198_24180	2	1	0	0	1	1
Slc35f4_24181	0	0	0	0	0	0
Unknown_24182	0	0	0	0	0	0
Unknown_24183	0	0	0	0	0	0
Unknown_24184	0	0	0	0	0	0
Armh4_24185	0	2	0	1	2	0
Unknown_24186	551	488	488	416	528	393
Unknown_24187	0	0	1	0	0	0
Olfr722_24188	0	0	0	0	0	0
Olfr723_24189	0	0	0	0	0	0
Olfr724_24190	0	0	0	0	0	0
Olfr725_24191	0	0	0	0	0	0
Olfr726_24192	0	0	0	0	0	0
Olfr727_24193	0	0	0	0	0	0
Olfr728_24194	0	0	0	0	0	0
Olfr729_24195	0	0	0	0	0	0
Unknown_24196	0	0	0	0	0	0
Olfr731_24197	0	0	0	0	0	0
Olfr732_24198	0	0	0	0	0	0
Olfr733_24199	0	0	0	0	0	0
Olfr734_24200	0	0	0	0	0	0
Olfr735_24201	0	0	0	0	0	0
Tlr11_24202	0	0	0	0	0	0
Olfr736_24203	0	0	0	0	0	0
Olfr738_24204	0	0	0	0	0	0
Olfr739_24205	0	0	0	0	0	0
Olfr740_24206	0	0	0	0	0	0
Olfr741_24207	0	0	0	0	0	0
Olfr742_24208	0	0	0	0	0	0
Olfr743_24209	0	0	0	0	0	0
Olfr744_24210	0	0	0	0	0	0
Olfr745_24211	0	0	0	0	0	0
Olfr746_24212	0	0	0	0	0	0
Olfr747_24213	0	0	0	0	0	0
Olfr748_24214	0	0	0	0	0	0
Gm24316_24215	0	0	0	0	0	0
Olfr749_24216	0	0	0	0	0	0
Ttc5_24217	1898	1930	1787	1169	1583	1080
Unknown_24218	1609	1524	1446	1190	1662	1145
Ccnb1ip1_24219	0	0	0	0	0	0
Rpph1_24220	15	5	14	8	21	11
Parp2_24221	1826	1556	1549	1566	2293	1645
Tep1_24222	1619	1161	1081	1000	1315	1073
Unknown_24223	801	670	685	284	412	296
Klhl33_24224	0	5	3	2	7	5
Unknown_24225	0	0	0	0	0	0
Osgep_24226	1083	1344	1149	755	1205	823
Unknown_24227	0	0	3	1	1	2
Apex1_24228	2427	2803	2631	2944	5139	3973
Pip4p1_24229	3270	3642	3308	3024	5215	4031
Unknown_24230	3759	4940	4613	2720	3812	2591
Pnp2_24231	422	563	484	236	334	236
Rnase10_24232	0	1	0	3	1	2
Rnase9_24233	0	0	0	0	0	0
Rnase11_24234	0	0	0	0	0	0
Rnase12_24235	0	0	0	0	0	0
Olfr750_24236	0	0	0	0	0	0
Rnase4_24237	324	329	252	407	509	355
Ang_24238	108	107	97	151	185	142
Eddm3b_24239	0	0	0	0	0	0
Rnase6_24240	1	0	0	1	0	1
Rnase1_24241	0	0	0	0	0	0
Rnase2b_24242	0	0	0	0	0	0
Ang2_24243	0	0	0	0	0	0
Ear4_24244	0	0	0	0	0	0
Rnase2a_24245	0	0	0	0	0	0
Unknown_24246	0	0	0	0	0	0
Unknown_24247	0	0	0	0	0	0
Unknown_24248	0	0	0	0	0	0
Gm7247_24249	0	0	0	0	0	0
Unknown_24250	0	0	0	0	0	0
Vmn2r88_24251	0	0	0	0	1	0
Vmn2r89_24252	0	1	1	0	0	1
Gm5622_24253	0	0	0	0	0	0
Unknown_24254	0	0	0	0	0	0
Gm17175_24255	0	0	0	0	0	0
Unknown_24256	0	0	0	0	0	0
Unknown_24257	0	0	0	0	0	0
Unknown_24258	0	0	0	0	0	0
Unknown_24259	0	0	0	0	0	0
Unknown_24260	0	0	0	0	0	0
Gm5800_24261	0	0	0	0	0	0
Ear-ps3_24262	0	0	0	0	0	0
Ang4_24263	0	0	0	0	0	0
Ear-ps4_24264	0	0	0	0	0	0
AY358078_24265	244	337	291	214	391	324
Unknown_24266	265	359	320	234	414	340
Unknown_24267	0	0	0	0	0	0
Ear-ps5_24268	0	0	0	0	0	0
Ear6_24269	0	0	0	0	0	0
Mettl17_24270	776	588	622	490	579	442
Slc39a2_24271	21	15	16	20	25	16
Ndrg2_24272	22	175	109	646	292	164
Tppp2_24273	0	0	0	0	0	0
Rnase13_24274	0	0	0	0	0	0
Arhgef40_24275	82	71	79	95	83	62
Gm16617_24276	0	0	1	0	0	0
Zfp219_24277	1311	1270	1256	1374	1589	1140
Tmem253_24278	98	133	120	72	88	56
Olfr221_24279	0	1	0	0	0	0
LOC115488404_24280	3	4	2	1	3	4
Hnrnpc_24281	11292	14559	13454	9038	14689	10188
Rpgrip1_24282	2686	3527	3313	2275	3787	2902
Supt16_24283	9685	13410	11966	7974	13218	10159
Unknown_24284	901	982	958	468	759	574
Chd8_24285	6192	7264	6933	3398	5355	4342
Snord8_24286	9	1	3	4	10	3
Rab2b_24287	687	743	718	202	257	188
Gm23758_24288	0	0	0	0	0	0
Tox4_24289	4608	5236	5174	3359	5068	3742
Mettl3_24290	2061	1932	1909	1019	1507	1098
Sall2_24291	18	26	27	4	5	9
Gm26328_24292	0	0	0	0	0	0
Olfr1513_24293	0	0	0	0	0	0
Olfr1512_24294	0	0	0	0	0	0
Olfr1511_24295	0	0	0	0	0	0
Olfr1510_24296	0	0	0	0	0	0
Trav1_24297	0	0	0	0	0	0
Olfr1509_24298	0	0	0	0	1	3
Olfr1508_24299	0	0	0	0	0	0
Olfr1507_24300	0	0	0	0	0	0
Trav2_24301	0	0	0	0	0	0
Unknown_24302	0	0	0	0	0	0
Trav5-1_24303	0	0	0	0	0	0
Trav6-1_24304	0	0	0	0	0	0
Trav6-2_24305	0	0	0	0	0	0
Trav4d-2_24306	0	0	0	0	0	0
Trav6d-3_24307	0	0	0	0	0	0
Trav7d-3_24308	0	0	0	0	0	0
Trav6d-4_24309	0	0	0	0	0	0
Trav7d-4_24310	0	0	0	0	0	0
Trav8d-1_24311	0	0	0	0	0	0
Trav9d-1_24312	0	0	0	0	0	0
Trav6d-5_24313	0	0	0	0	0	0
Trav10d_24314	0	0	0	0	0	0
Trav6d-6_24315	0	0	0	0	0	0
Trav11d_24316	0	0	0	0	0	0
Unknown_24317	0	0	0	0	0	0
Trav12d-1_24318	0	0	0	0	0	0
Trav13d-1_24319	0	0	0	0	0	0
Trav14d-1_24320	0	0	0	0	0	0
Unknown_24321	215	255	244	129	194	150
Trav15d-1-dv6d-1_24322	0	0	0	0	0	0
Trav9d-2_24323	0	0	0	0	0	0
Trav4d-3_24324	0	0	0	0	0	0
