X6005.3SA	X6005.3SB	X6005.3SC	DMSO5.3A	DMSO5.3B	DMSO5.3C
Unknown_520	0	0	0	0	0	0
Unknown_521	0	0	0	0	0	0
Unknown_522	26945	42513	39651	23774	37854	28524
Cd28_523	1	2	1	39	22	16
Unknown_524	0	0	0	0	0	0
Unknown_525	0	0	0	0	0	0
Unknown_526	0	1	0	0	0	0
Unknown_527	7	5	5	9	10	9
Ctla4_528	0	0	0	1	0	0
Rpl18-ps1_529	3289	3575	3581	2821	3187	2470
Unknown_530	49	54	51	46	54	39
Icos_531	0	0	0	3	0	0
Rpl17-ps1_532	139	92	111	87	92	72
Unknown_533	0	0	0	0	0	0
Unknown_534	0	0	0	0	0	0
Unknown_535	0	0	0	0	0	0
9530026F06Rik_536	0	0	0	0	0	0
Unknown_537	0	0	0	0	0	0
Unknown_538	0	0	0	0	0	0
Unknown_539	0	0	0	0	0	0
Pard3b_540	0	0	0	0	0	0
Unknown_541	0	0	0	0	0	0
Pard3bos2_542	0	0	0	0	0	0
Unknown_543	0	0	0	0	0	0
Unknown_544	0	0	1	0	0	0
Gm11599_545	1486	2317	2165	1466	1928	1438
Nrp2_546	823	1223	1168	438	1032	892
Ino80d_547	11207	11130	10825	3894	5616	4480
Gm24942_548	0	0	0	0	0	0
Unknown_549	5	8	3	5	7	4
Unknown_550	323	246	248	184	283	198
Ino80dos_551	1059	1077	1181	690	1236	789
Ndufs1_552	3373	4537	4099	3114	5653	3921
Eef1b2_553	31811	28653	28956	21284	28777	21115
Unknown_554	132	169	155	79	124	120
Gm26457_555	20	31	29	27	30	24
Snora41_556	58	57	77	33	31	35
Gpr1_557	1	0	1	0	1	1
Unknown_558	0	0	0	0	0	0
Unknown_559	0	0	0	0	0	0
Unknown_560	0	0	0	0	0	0
Unknown_561	0	0	0	0	0	0
Zdbf2_562	0	0	1	0	0	0
Gm23448_563	0	0	0	0	0	0
Gm11606_564	0	0	0	0	0	0
Unknown_565	1841	2439	2245	2041	3077	2158
Adam23_566	0	0	0	0	0	0
Gm22281_567	0	0	0	0	0	0
Dytn_568	0	1	0	0	0	0
Unknown_569	0	0	0	0	1	0
Mdh1b_570	0	1	0	0	1	0
Fastkd2_571	605	716	735	659	1163	939
4933402D24Rik_572	0	0	2	1	0	2
Gm13751_573	1	0	1	0	0	0
Gm13754_574	0	0	0	0	0	0
Gm13749_575	0	0	0	0	0	0
Klf7_576	1696	1808	1300	1166	2015	1161
Unknown_577	668	667	475	436	764	402
Mir6899_578	1	5	1	0	2	5
Unknown_579	33	25	20	21	37	8
Unknown_580	2154	3392	3326	1696	2699	1964
Unknown_581	0	0	0	0	0	0
Creb1_582	4546	4708	4529	2923	4307	3488
Mettl21a_583	540	449	450	411	430	314
2810408I11Rik_584	143	190	196	97	161	102
Ccnyl1_585	550	583	640	235	426	281
Fzd5_586	547	606	543	111	183	145
Plekhm3_587	292	349	274	237	316	181
Rpl31-ps24_588	31	39	35	15	19	18
Rpl10a-ps1_589	19079	18794	18717	16106	19430	14108
Gm24788_590	0	0	0	0	0	0
Akr1cl_591	84	95	99	111	137	121
Unknown_592	84	95	99	111	138	122
Cryge_593	0	0	0	0	0	0
Crygd_594	0	0	0	0	0	0
Crygc_595	0	0	0	0	0	0
Crygb_596	0	0	0	0	0	0
Cryga_597	0	0	0	0	0	0
D630023F18Rik_598	5	3	1	27	17	15
Idh1_599	4592	7543	6765	5080	6858	4545
Pikfyve_600	2081	2295	2203	1016	1824	1376
Pth2r_601	0	0	3	0	0	0
Gm5255_602	0	0	0	0	0	0
Unknown_603	2094	2320	2173	1529	1743	1372
Crygf_604	0	0	0	0	0	0
Unknown_605	0	0	0	1	0	0
Unknown_606	56	81	102	75	107	104
Gm8812_607	40	25	27	41	31	23
Map2_608	0	0	0	0	0	0
Gm24729_609	0	0	0	0	0	0
Unknown_610	0	0	0	0	0	0
Gm25411_611	0	0	0	0	0	0
Unc80_612	33	26	23	88	121	91
Rpe_613	3968	4122	3910	2216	3706	2740
Kansl1l_614	1472	1552	1634	783	1133	781
Gm15789_615	2	4	7	1	2	0
Acadl_616	4820	5410	4754	3744	5337	3648
Unknown_617	829	746	789	514	751	551
Gm27934_618	1	0	0	0	0	0
Gm25832_619	0	0	0	0	0	0
Myl1_620	1	0	0	0	0	0
Rpl31-ps14_621	1134	1201	1167	845	1101	835
Gm15826_622	0	0	0	0	0	0
Lancl1_623	1744	1806	1777	1408	1540	922
Cps1_624	0	0	0	1	0	0
Unknown_625	0	0	0	0	0	0
Gm26342_626	0	0	0	0	0	0
Kif22-ps_627	57	78	77	62	75	68
Unknown_628	0	0	0	0	0	0
Unknown_629	0	0	0	0	0	0
Unknown_630	0	0	0	0	0	0
Unknown_631	0	0	0	0	0	0
Erbb4_632	0	0	0	0	0	0
Unknown_633	0	2	0	0	0	0
Unknown_634	0	0	0	0	0	0
Unknown_635	0	0	0	0	0	0
Unknown_636	18	20	24	9	21	19
Ikzf2_637	627	493	431	421	537	325
Spag16_638	0	0	0	0	1	0
Unknown_639	0	0	0	0	0	0
Gm23879_640	1	0	0	0	0	0
Gm23422_641	0	0	0	0	0	0
Vwc2l_642	0	0	0	0	0	0
Bard1_643	1084	1674	1486	794	1555	988
Unknown_644	3	9	3	2	3	3
Abca12_645	0	0	0	0	0	0
Atic_646	5294	8263	7915	5012	7610	6151
Fn1_647	1	4	3	0	1	1
Apol7d_648	0	0	0	0	0	1
Gm5528_649	494	444	406	332	486	305
Mreg_650	140	202	200	118	93	59
Gm25360_651	1	1	3	0	1	1
Unknown_652	66	51	77	15	28	34
Gm23472_653	1	0	0	0	0	0
Gm24497_654	2	2	0	1	0	0
Gm25939_655	0	2	1	0	0	1
Pecr_656	257	323	280	240	340	270
Tmem169_657	0	0	2	0	0	0
Xrcc5_658	12	30	40	14	13	6
